Code,Region,Name,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RLQ,NHS England Midlands ,Wye Valley NHS Trust,6005,1122,114,7241,2921,1122,114,4157,3084,0,0,3084,57.4,48.6,100.0,100.0,1431,0,0,1431,135,1566,706,277
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,6510,219,0,6729,4264,219,0,4483,2246,0,0,2246,66.6,65.5,100.0,0.0,1577,0,0,1577,474,2051,497,116
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,8914,0,0,8914,5978,0,0,5978,2936,0,0,2936,67.1,67.1,0.0,0.0,2863,0,0,2863,498,3361,444,5
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,8991,988,3331,13310,6721,988,3331,11040,2270,0,0,2270,82.9,74.8,100.0,100.0,2535,0,17,2552,1328,3880,719,71
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,3556,3556,0,0,2972,2972,0,0,584,584,83.6,0.0,0.0,83.6,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,1586,1586,0,0,1525,1525,0,0,61,61,96.2,0.0,0.0,96.2,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,15871,0,0,15871,13125,0,0,13125,2746,0,0,2746,82.7,82.7,0.0,0.0,2812,0,0,2812,181,2993,968,24
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,12948,0,12235,25183,7754,0,12235,19989,5194,0,0,5194,79.4,59.9,0.0,100.0,4385,0,0,4385,727,5112,1939,12
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,13769,0,4221,17990,9044,0,4188,13232,4725,0,33,4758,73.6,65.7,0.0,99.2,3965,0,466,4431,1006,5437,1115,65
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,3043,3043,0,0,2812,2812,0,0,231,231,92.4,0.0,0.0,92.4,0,0,0,0,0,0,0,0
