Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"2,680","2,680",0,0,"2,605","2,605",0,0,75,75,97.20%,-,-,97.20%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"5,945",0,"4,258","10,203","3,287",0,"4,232","7,519","2,658",0,26,"2,684",73.70%,55.30%,-,99.40%,"1,797",0,0,"1,797",65,"1,862",907,21
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,707","1,707",0,0,"1,700","1,700",0,0,7,7,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,648",0,"1,088","6,736","3,909",0,"1,086","4,995","1,739",0,2,"1,741",74.20%,69.20%,-,99.80%,"1,199",0,0,"1,199",326,"1,525",141,6
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"9,956",0,"4,361","14,317","4,072",0,"3,923","7,995","5,884",0,438,"6,322",55.80%,40.90%,-,90.00%,"3,902",0,0,"3,902","2,281","6,183","1,661",670
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,162","1,162",0,0,"1,159","1,159",0,0,3,3,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"19,037",809,"12,313","32,159","11,476",809,"11,860","24,145","7,561",0,453,"8,014",75.10%,60.30%,100.00%,96.30%,"3,722",0,0,"3,722","1,310","5,032","2,161",714
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,563","2,563",0,0,"2,554","2,554",0,0,9,9,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"17,550",128,"6,811","24,489","10,820",128,"6,548","17,496","6,730",0,263,"6,993",71.40%,61.70%,100.00%,96.10%,"3,631",0,157,"3,788",988,"4,776","2,223",125
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"8,948",0,"1,961","10,909","4,819",0,"1,916","6,735","4,129",0,45,"4,174",61.70%,53.90%,-,97.70%,"2,433",0,0,"2,433",775,"3,208",928,318
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"4,983",0,"11,225","16,208","2,094",0,"11,197","13,291","2,889",0,28,"2,917",82.00%,42.00%,-,99.80%,"1,705",0,513,"2,218","2,638","4,856",333,47
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,"9,779",0,"7,653","17,432","4,625",0,"7,587","12,212","5,154",0,66,"5,220",70.10%,47.30%,-,99.10%,"5,696",0,0,"5,696",534,"6,230","1,523",738
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,"11,014",0,"13,208","24,222","8,029",0,"13,208","21,237","2,985",0,0,"2,985",87.70%,72.90%,-,100.00%,"4,178",0,15,"4,193",532,"4,725",49,0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,"4,972",0,618,"5,590","4,592",0,618,"5,210",380,0,0,380,93.20%,92.40%,-,100.00%,"1,112",0,0,"1,112",104,"1,216",8,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,"9,427","1,311","9,120","19,858","4,419","1,145","8,874","14,438","5,008",166,246,"5,420",72.70%,46.90%,87.30%,97.30%,"3,269",0,0,"3,269","3,860","7,129","1,206",13
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,"7,664",0,"11,207","18,871","3,731",0,"10,865","14,596","3,933",0,342,"4,275",77.30%,48.70%,-,96.90%,"2,386",0,362,"2,748","2,409","5,157",424,24
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,"12,460","1,299","7,162","20,921","6,531","1,282","6,880","14,693","5,929",17,282,"6,228",70.20%,52.40%,98.70%,96.10%,"4,405",27,0,"4,432","1,667","6,099",867,2
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,121,121,0,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,"13,761","1,760","8,137","23,658","8,371","1,698","8,137","18,206","5,390",62,0,"5,452",77.00%,60.80%,96.50%,100.00%,"3,890",24,0,"3,914","2,909","6,823",637,42
