Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,426,426,0,0,426,426,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"8,665","8,665",0,0,"8,491","8,491",0,0,174,174,98.00%,-,-,98.00%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,349","2,349",0,0,"2,349","2,349",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"7,883","7,883",0,0,"7,856","7,856",0,0,27,27,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,517,517,0,0,517,517,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,336,336,0,0,336,336,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,377,377,0,0,377,377,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
A5D4Q,NHS England Midlands ,Nems Utc,0,0,"3,731","3,731",0,0,"3,009","3,009",0,0,722,722,80.60%,-,-,80.60%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"11,008",587,"1,990","13,585","6,877",562,"1,785","9,224","4,131",25,205,"4,361",67.90%,62.50%,95.70%,89.70%,"2,211",0,0,"2,211",762,"2,973","1,406",697
NR3,NHS England Midlands ,Nottingham Citycare Partnership,0,0,"5,204","5,204",0,0,"4,827","4,827",0,0,377,377,92.80%,-,-,92.80%,0,0,0,0,0,0,0,0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"13,038","2,226",0,"15,264","6,432","2,170",0,"8,602","6,606",56,0,"6,662",56.40%,49.30%,97.50%,-,"4,219",0,478,"4,697","4,027","8,724",800,518
NNJ14,NHS England Midlands ,Oadby,0,0,"2,758","2,758",0,0,"2,758","2,758",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,415,415,0,0,415,415,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"11,848","1,281","8,183","21,312","7,428","1,090","7,926","16,444","4,420",191,257,"4,868",77.20%,62.70%,85.10%,96.90%,"2,623",0,0,"2,623",500,"3,123",716,87
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"11,459",0,"5,849","17,308","7,709",0,"5,580","13,289","3,750",0,269,"4,019",76.80%,67.30%,-,95.40%,"3,631",0,0,"3,631",252,"3,883",617,43
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"3,489","3,489",0,0,"3,438","3,438",0,0,51,51,98.50%,-,-,98.50%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,453,453,0,0,453,453,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,5,5,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"6,125","6,125",0,0,"6,125","6,125",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,367",0,397,"8,764","6,243",0,397,"6,640","2,124",0,0,"2,124",75.80%,74.60%,-,100.00%,"2,083",0,0,"2,083",893,"2,976",345,11
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"2,962","2,962",0,0,"2,962","2,962",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"10,299",0,"4,568","14,867","7,321",0,"4,543","11,864","2,978",0,25,"3,003",79.80%,71.10%,-,99.50%,"3,450",0,0,"3,450","2,858","6,308","1,802",78
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,15,15,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"13,314",0,"7,943","21,257","9,794",0,"7,802","17,596","3,520",0,141,"3,661",82.80%,73.60%,-,98.20%,"5,965",0,0,"5,965",820,"6,785","1,252",212
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"10,883",0,"2,669","13,552","4,965",0,"2,221","7,186","5,918",0,448,"6,366",53.00%,45.60%,-,83.20%,"3,125",0,141,"3,266","1,963","5,229","1,784","1,334"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"16,654",0,"3,648","20,302","9,803",0,"3,305","13,108","6,851",0,343,"7,194",64.60%,58.90%,-,90.60%,"4,596",0,0,"4,596","1,133","5,729","1,987","1,077"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"35,162",381,"2,158","37,701","20,436",381,"2,045","22,862","14,726",0,113,"14,839",60.60%,58.10%,100.00%,94.80%,"9,933",0,0,"9,933","7,067","17,000","4,364","1,892"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"12,391","1,313","5,969","19,673","6,836","1,196","5,779","13,811","5,555",117,190,"5,862",70.20%,55.20%,91.10%,96.80%,"1,479",42,31,"1,552",329,"1,881",84,14
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"23,066",0,"9,719","32,785","14,115",0,"9,719","23,834","8,951",0,0,"8,951",72.70%,61.20%,-,100.00%,"3,973",0,0,"3,973","1,913","5,886","1,768",709
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"21,814","2,124",0,"23,938","12,686","1,874",0,"14,560","9,128",250,0,"9,378",60.80%,58.20%,88.20%,-,"6,443",5,0,"6,448","3,325","9,773","1,776",569
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"14,785",513,"9,161","24,459","7,105",513,"9,052","16,670","7,680",0,109,"7,789",68.20%,48.10%,100.00%,98.80%,"4,921",0,0,"4,921","1,901","6,822","1,974",942
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,502",0,"4,464","13,966","6,600",0,"4,391","10,991","2,902",0,73,"2,975",78.70%,69.50%,-,98.40%,"3,809",0,0,"3,809",742,"4,551",977,55
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"13,862",0,"6,476","20,338","7,051",0,"6,389","13,440","6,811",0,87,"6,898",66.10%,50.90%,-,98.70%,"2,799",0,0,"2,799",809,"3,608","1,479",795
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"6,170","1,035",217,"7,422","3,585","1,035",217,"4,837","2,585",0,0,"2,585",65.20%,58.10%,100.00%,100.00%,"1,372",0,0,"1,372",174,"1,546",645,234
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,673",219,0,"6,892","4,578",219,0,"4,797","2,095",0,0,"2,095",69.60%,68.60%,100.00%,-,"1,540",0,0,"1,540",471,"2,011",427,99
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,243",0,0,"9,243","5,824",0,0,"5,824","3,419",0,0,"3,419",63.00%,63.00%,-,-,"2,967",0,0,"2,967",486,"3,453",429,0
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,369","1,106","3,297","13,772","6,996","1,106","3,296","11,398","2,373",0,1,"2,374",82.80%,74.70%,100.00%,100.00%,"2,606",0,11,"2,617","1,360","3,977",716,63
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,846","3,846",0,0,"3,321","3,321",0,0,525,525,86.30%,-,-,86.30%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,526","1,526",0,0,"1,464","1,464",0,0,62,62,95.90%,-,-,95.90%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"16,287",0,0,"16,287","13,595",0,0,"13,595","2,692",0,0,"2,692",83.50%,83.50%,-,-,"2,762",0,0,"2,762",200,"2,962",659,7
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"13,150",0,"11,762","24,912","8,432",0,"11,762","20,194","4,718",0,0,"4,718",81.10%,64.10%,-,100.00%,"4,339",0,0,"4,339",810,"5,149","1,589",0
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"14,268",0,"4,315","18,583","9,757",0,"4,300","14,057","4,511",0,15,"4,526",75.60%,68.40%,-,99.70%,"3,884",0,452,"4,336",962,"5,298","1,067",80
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"3,038","3,038",0,0,"2,826","2,826",0,0,212,212,93.00%,-,-,93.00%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"6,095",0,"3,874","9,969","3,811",0,"3,834","7,645","2,284",0,40,"2,324",76.70%,62.50%,-,99.00%,"1,661",0,0,"1,661",54,"1,715",616,2
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,790","1,790",0,0,"1,785","1,785",0,0,5,5,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,784",0,"1,119","6,903","4,198",0,"1,119","5,317","1,586",0,0,"1,586",77.00%,72.60%,-,100.00%,"1,187",0,0,"1,187",292,"1,479",170,5
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"9,584",0,"4,415","13,999","4,045",0,"3,883","7,928","5,539",0,532,"6,071",56.60%,42.20%,-,88.00%,"3,672",0,0,"3,672","2,386","6,058","1,513",408
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,299","1,299",0,0,"1,295","1,295",0,0,4,4,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"17,642",736,"12,072","30,450","10,772",736,"11,876","23,384","6,870",0,196,"7,066",76.80%,61.10%,100.00%,98.40%,"3,616",0,0,"3,616","1,184","4,800","1,967",208
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,339","2,339",0,0,"2,330","2,330",0,0,9,9,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"16,944",130,"6,696","23,770","10,661",130,"6,526","17,317","6,283",0,170,"6,453",72.90%,62.90%,100.00%,97.50%,"3,535",0,179,"3,714",821,"4,535","1,633",49
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"9,038",0,"2,081","11,119","5,034",0,"2,043","7,077","4,004",0,38,"4,042",63.60%,55.70%,-,98.20%,"2,412",0,0,"2,412",809,"3,221","1,104",403
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"4,778",0,"11,254","16,032","2,281",0,"11,205","13,486","2,497",0,49,"2,546",84.10%,47.70%,-,99.60%,"1,617",0,404,"2,021","2,189","4,210",244,11
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,"9,049",0,"7,813","16,862","4,206",0,"7,701","11,907","4,843",0,112,"4,955",70.60%,46.50%,-,98.60%,"5,402",0,0,"5,402",446,"5,848","1,489",761
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,"9,915",0,"13,581","23,496","7,922",0,"13,574","21,496","1,993",0,7,"2,000",91.50%,79.90%,-,99.90%,"4,250",0,11,"4,261",456,"4,717",3,0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,"4,980",0,331,"5,311","4,647",0,331,"4,978",333,0,0,333,93.70%,93.30%,-,100.00%,953,0,0,953,66,"1,019",11,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,"9,128","1,217","8,550","18,895","5,117","1,214","8,345","14,676","4,011",3,205,"4,219",77.70%,56.10%,99.80%,97.60%,"3,426",0,0,"3,426","3,071","6,497",528,4
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,"7,240",0,"11,360","18,600","3,652",0,"10,586","14,238","3,588",0,774,"4,362",76.50%,50.40%,-,93.20%,"2,560",0,115,"2,675","2,453","5,128",256,6
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,"11,945","1,252","7,293","20,490","6,183","1,231","6,873","14,287","5,762",21,420,"6,203",69.70%,51.80%,98.30%,94.20%,"4,313",14,0,"4,327","1,492","5,819",781,2
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,108,108,0,0
