Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,153","1,153",0,0,"1,148","1,148",0,0,5,5,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"17,600",641,"11,560","29,801","10,338",641,"10,987","21,966","7,262",0,573,"7,835",73.70%,58.70%,100.00%,95.00%,"3,810",0,0,"3,810","1,271","5,081","2,158",809
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,737","2,737",0,0,"2,728","2,728",0,0,9,9,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"16,412",106,"6,408","22,926","10,062",106,"6,048","16,216","6,350",0,360,"6,710",70.70%,61.30%,100.00%,94.40%,"3,552",0,151,"3,703",941,"4,644","2,316",315
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"8,646",0,"1,679","10,325","4,778",0,"1,633","6,411","3,868",0,46,"3,914",62.10%,55.30%,-,97.30%,"2,213",0,0,"2,213",478,"2,691",944,338
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"5,187",0,"11,450","16,637","2,461",0,"11,402","13,863","2,726",0,48,"2,774",83.30%,47.40%,-,99.60%,"1,871",0,495,"2,366","2,269","4,635",325,33
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,"9,775",0,"7,049","16,824","4,038",0,"7,005","11,043","5,737",0,44,"5,781",65.60%,41.30%,-,99.40%,"5,444",0,0,"5,444",394,"5,838","1,557",871
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,"10,826",0,"12,639","23,465","7,790",0,"12,639","20,429","3,036",0,0,"3,036",87.10%,72.00%,-,100.00%,"4,184",0,8,"4,192",508,"4,700",89,0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,"5,137",0,571,"5,708","4,524",0,566,"5,090",613,0,5,618,89.20%,88.10%,-,99.10%,"1,149",0,0,"1,149",81,"1,230",13,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,"9,406","1,108","8,166","18,680","4,561","1,107","7,703","13,371","4,845",1,463,"5,309",71.60%,48.50%,99.90%,94.30%,"3,382",0,0,"3,382","3,666","7,048","1,219",5
