Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"19,035",0,"8,365","27,400","10,091",0,"8,364","18,455","8,944",0,1,"8,945",67.40%,53.00%,-,100.00%,"3,563",0,1,"3,564","2,061","5,625","1,759",727
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"20,546","1,921",0,"22,467","12,356","1,791",0,"14,147","8,190",130,0,"8,320",63.00%,60.10%,93.20%,-,"6,428",4,0,"6,432","3,708","10,140","1,919",727
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"13,933",440,"7,916","22,289","6,162",440,"7,831","14,433","7,771",0,85,"7,856",64.80%,44.20%,100.00%,98.90%,"4,405",0,0,"4,405","1,001","5,406","2,022",927
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,016",0,"3,653","12,669","5,855",0,"3,599","9,454","3,161",0,54,"3,215",74.60%,64.90%,-,98.50%,"3,976",0,0,"3,976",834,"4,810","1,379",331
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"12,297",0,"4,732","17,029","6,742",0,"4,683","11,425","5,555",0,49,"5,604",67.10%,54.80%,-,99.00%,"2,848",0,0,"2,848",800,"3,648","1,845","1,059"
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"5,501",855,115,"6,471","3,117",855,115,"4,087","2,384",0,0,"2,384",63.20%,56.70%,100.00%,100.00%,"1,332",0,0,"1,332",119,"1,451",690,234
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"5,675",197,0,"5,872","3,368",197,0,"3,565","2,307",0,0,"2,307",60.70%,59.30%,100.00%,-,"1,427",0,0,"1,427",490,"1,917",681,262
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"8,519",0,0,"8,519","6,417",0,0,"6,417","2,102",0,0,"2,102",75.30%,75.30%,-,-,"3,116",0,0,"3,116",500,"3,616",373,1
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"8,619",953,"2,874","12,446","6,642",953,"2,874","10,469","1,977",0,0,"1,977",84.10%,77.10%,100.00%,100.00%,"2,321",0,18,"2,339","1,232","3,571",647,75
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,846","3,846",0,0,"3,321","3,321",0,0,525,525,86.30%,-,-,86.30%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,526","1,526",0,0,"1,464","1,464",0,0,62,62,95.90%,-,-,95.90%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"14,380",0,0,"14,380","11,799",0,0,"11,799","2,581",0,0,"2,581",82.10%,82.10%,-,-,"2,654",0,0,"2,654",156,"2,810","1,407",154
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"11,451",0,"9,765","21,216","6,580",0,"9,765","16,345","4,871",0,0,"4,871",77.00%,57.50%,-,100.00%,"4,119",0,0,"4,119",736,"4,855","1,826",18
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"12,523",0,"3,554","16,077","7,801",0,"3,549","11,350","4,722",0,5,"4,727",70.60%,62.30%,-,99.90%,"3,663",0,388,"4,051","1,016","5,067","1,371",202
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"3,038","3,038",0,0,"2,826","2,826",0,0,212,212,93.00%,-,-,93.00%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"5,324",0,"4,073","9,397","3,019",0,"4,035","7,054","2,305",0,38,"2,343",75.10%,56.70%,-,99.10%,"1,533",0,0,"1,533",36,"1,569",668,1
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,790","1,790",0,0,"1,785","1,785",0,0,5,5,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"4,801",0,"1,319","6,120","3,377",0,"1,318","4,695","1,424",0,1,"1,425",76.70%,70.30%,-,99.90%,"1,018",0,0,"1,018",305,"1,323",266,12
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"8,887",0,"3,896","12,783","4,117",0,"3,586","7,703","4,770",0,310,"5,080",60.30%,46.30%,-,92.00%,"3,733",0,0,"3,733","1,949","5,682","1,389",410
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,960,960,0,0,959,959,0,0,1,1,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"16,732",670,"10,379","27,781","9,979",670,"10,125","20,774","6,753",0,254,"7,007",74.80%,59.60%,100.00%,97.60%,"3,344",0,0,"3,344","1,120","4,464","1,886",884
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,403","2,403",0,0,"2,394","2,394",0,0,9,9,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"14,986",128,"5,870","20,984","9,312",128,"5,713","15,153","5,674",0,157,"5,831",72.20%,62.10%,100.00%,97.30%,"3,065",0,161,"3,226",812,"4,038","2,616",610
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"8,022",0,"1,548","9,570","4,451",0,"1,489","5,940","3,571",0,59,"3,630",62.10%,55.50%,-,96.20%,"1,932",0,0,"1,932",442,"2,374","1,045",378
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"4,547",0,"10,252","14,799","2,051",0,"10,233","12,284","2,496",0,19,"2,515",83.00%,45.10%,-,99.80%,"1,530",0,430,"1,960","2,315","4,275",248,39
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,"9,527",0,"6,148","15,675","5,145",0,"6,106","11,251","4,382",0,42,"4,424",71.80%,54.00%,-,99.30%,"5,136",0,0,"5,136",369,"5,505","1,450",874
