Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"3,203","3,203",0,0,"3,191","3,191",0,0,12,12,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,512,512,0,0,512,512,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,5,5,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"3,836","3,836",0,0,"3,836","3,836",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,646",0,438,"9,084","6,838",0,438,"7,276","1,808",0,0,"1,808",80.10%,79.10%,-,100.00%,"1,815",0,0,"1,815",663,"2,478",555,132
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"3,046","3,046",0,0,"3,046","3,046",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"10,359",0,"4,879","15,238","8,295",0,"4,720","13,015","2,064",0,159,"2,223",85.40%,80.10%,-,96.70%,"3,662",0,0,"3,662","2,769","6,431",997,40
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,29,29,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"11,512","1,741","8,069","21,322","7,495","1,707","7,799","17,001","4,017",34,270,"4,321",79.70%,65.10%,98.00%,96.70%,"3,064",0,59,"3,123","3,984","7,107","1,433",604
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"11,446",0,"2,637","14,083","5,165",0,"2,267","7,432","6,281",0,370,"6,651",52.80%,45.10%,-,86.00%,"3,693",0,145,"3,838","2,258","6,096","1,915","1,173"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"18,625",0,"4,910","23,535","12,898",0,"4,652","17,550","5,727",0,258,"5,985",74.60%,69.30%,-,94.70%,"5,141",0,0,"5,141","1,011","6,152","1,889","1,132"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"34,602",423,"3,354","38,379","20,942",423,"3,328","24,693","13,660",0,26,"13,686",64.30%,60.50%,100.00%,99.20%,"10,755",0,0,"10,755","7,641","18,396","4,394","1,511"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"13,287","2,667","6,422","22,376","8,264","2,574","6,243","17,081","5,023",93,179,"5,295",76.30%,62.20%,96.50%,97.20%,958,40,41,"1,039",342,"1,381",60,11
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"22,252",0,"9,894","32,146","12,822",0,"9,890","22,712","9,430",0,4,"9,434",70.70%,57.60%,-,100.00%,"4,115",0,1,"4,116","2,034","6,150","1,680",455
