Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"6,803",0,"1,669","8,472","4,796",0,"1,649","6,445","2,007",0,20,"2,027",76.10%,70.50%,-,98.80%,"1,071",0,0,"1,071",1,"1,072",667,255
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"10,539",0,"8,247","18,786","6,788",0,"8,160","14,948","3,751",0,87,"3,838",79.60%,64.40%,-,98.90%,"2,018",0,0,"2,018",216,"2,234","1,347",785
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,436,436,0,0,436,436,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"9,119","9,119",0,0,"8,822","8,822",0,0,297,297,96.70%,-,-,96.70%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"4,004","4,004",0,0,"4,002","4,002",0,0,2,2,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"7,508","7,508",0,0,"7,492","7,492",0,0,16,16,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,449,449,0,0,449,449,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,332,332,0,0,332,332,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,387,387,0,0,387,387,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
A5D4Q,NHS England Midlands ,Nems Cbs (Utc),0,0,"4,053","4,053",0,0,"3,187","3,187",0,0,866,866,78.60%,-,-,78.60%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"10,692",629,"1,855","13,176","5,594",587,"1,572","7,753","5,098",42,283,"5,423",58.80%,52.30%,93.30%,84.70%,"2,002",0,0,"2,002",426,"2,428","1,285",638
NR3,NHS England Midlands ,Nottingham Citycare Partnership,0,0,"5,243","5,243",0,0,"4,803","4,803",0,0,440,440,91.60%,-,-,91.60%,0,0,0,0,0,0,0,0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"13,245","2,205",0,"15,450","6,265","2,088",0,"8,353","6,980",117,0,"7,097",54.10%,47.30%,94.70%,-,"4,713",0,805,"5,518","4,432","9,950",734,467
NNJ14,NHS England Midlands ,Oadby,0,0,"2,848","2,848",0,0,"2,847","2,847",0,0,1,1,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,360,360,0,0,360,360,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"11,861","1,266","8,321","21,448","7,649","1,080","8,185","16,914","4,212",186,136,"4,534",78.90%,64.50%,85.30%,98.40%,"2,667",0,0,"2,667",466,"3,133",593,55
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"11,947",0,"6,105","18,052","7,310",0,"5,760","13,070","4,637",0,345,"4,982",72.40%,61.20%,-,94.30%,"3,905",0,0,"3,905",268,"4,173",745,95
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"3,764","3,764",0,0,"3,737","3,737",0,0,27,27,99.30%,-,-,99.30%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,439,439,0,0,439,439,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,2,2,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"5,808","5,808",0,0,"5,808","5,808",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,493",0,498,"8,991","6,543",0,498,"7,041","1,950",0,0,"1,950",78.30%,77.00%,-,100.00%,"2,102",0,0,"2,102",851,"2,953",333,28
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"3,233","3,233",0,0,"3,233","3,233",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"10,391",0,"4,580","14,971","7,226",0,"4,510","11,736","3,165",0,70,"3,235",78.40%,69.50%,-,98.50%,"3,641",0,0,"3,641","2,713","6,354","2,051",96
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,34,34,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"13,404",0,"7,917","21,321","9,656",0,"7,809","17,465","3,748",0,108,"3,856",81.90%,72.00%,-,98.60%,"6,038",0,0,"6,038",818,"6,856","1,340",290
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"11,091",0,"2,485","13,576","5,042",0,"2,132","7,174","6,049",0,353,"6,402",52.80%,45.50%,-,85.80%,"3,177",0,147,"3,324","2,050","5,374","1,886","1,407"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"17,265",0,"4,042","21,307","9,844",0,"3,658","13,502","7,421",0,384,"7,805",63.40%,57.00%,-,90.50%,"4,925",0,0,"4,925","1,137","6,062","2,086","1,027"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"36,112",390,"2,109","38,611","22,364",390,"2,022","24,776","13,748",0,87,"13,835",64.20%,61.90%,100.00%,95.90%,"10,999",0,0,"10,999","7,509","18,508","4,371","1,376"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"12,559","1,531","5,793","19,883","7,590","1,440","5,713","14,743","4,969",91,80,"5,140",74.10%,60.40%,94.10%,98.60%,"1,442",32,18,"1,492",422,"1,914",92,17
