Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
A5D4Q,NHS England Midlands ,Nems Cbs (Utc),0,0,"3,664","3,664",0,0,"2,793","2,793",0,0,871,871,76.20%,-,-,76.20%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"9,943",672,"1,700","12,315","5,719",635,"1,616","7,970","4,224",37,84,"4,345",64.70%,57.50%,94.50%,95.10%,"1,969",0,0,"1,969",414,"2,383","1,225",667
NR3,NHS England Midlands ,Nottingham Citycare Partnership,0,0,"4,934","4,934",0,0,"4,703","4,703",0,0,231,231,95.30%,-,-,95.30%,0,0,0,0,0,0,0,0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"12,151","2,036",0,"14,187","5,242","1,939",0,"7,181","6,909",97,0,"7,006",50.60%,43.10%,95.20%,-,"3,707",0,864,"4,571","3,982","8,553",817,566
NNJ14,NHS England Midlands ,Oadby,0,0,"2,877","2,877",0,0,"2,877","2,877",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,451,451,0,0,451,451,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"11,189","1,262","7,706","20,157","7,326","1,084","7,573","15,983","3,863",178,133,"4,174",79.30%,65.50%,85.90%,98.30%,"2,598",0,0,"2,598",423,"3,021",747,102
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"10,912",0,"5,526","16,438","6,092",0,"5,215","11,307","4,820",0,311,"5,131",68.80%,55.80%,-,94.40%,"3,631",0,0,"3,631",243,"3,874","1,050",346
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"3,193","3,193",0,0,"3,141","3,141",0,0,52,52,98.40%,-,-,98.40%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,531,531,0,0,531,531,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,1,1,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"5,641","5,641",0,0,"5,641","5,641",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,133",0,396,"8,529","6,364",0,396,"6,760","1,769",0,0,"1,769",79.30%,78.20%,-,100.00%,"2,042",0,0,"2,042",756,"2,798",328,14
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"2,916","2,916",0,0,"2,916","2,916",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"9,641",0,"4,282","13,923","6,430",0,"4,231","10,661","3,211",0,51,"3,262",76.60%,66.70%,-,98.80%,"3,482",0,0,"3,482","2,503","5,985","1,890",78
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,34,34,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"12,714",0,"7,509","20,223","8,996",0,"7,308","16,304","3,718",0,201,"3,919",80.60%,70.80%,-,97.30%,"5,990",0,0,"5,990",800,"6,790","1,256",172
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"10,809",0,"2,433","13,242","4,930",0,"1,965","6,895","5,879",0,468,"6,347",52.10%,45.60%,-,80.80%,"3,239",0,142,"3,381","1,851","5,232","1,912","1,300"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"16,973",0,"3,804","20,777","10,008",0,"3,476","13,484","6,965",0,328,"7,293",64.90%,59.00%,-,91.40%,"4,719",0,0,"4,719","1,002","5,721","2,103","1,061"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"33,886",332,"1,990","36,208","20,732",332,"1,956","23,020","13,154",0,34,"13,188",63.60%,61.20%,100.00%,98.30%,"10,275",0,0,"10,275","6,710","16,985","4,267","1,593"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"11,743","1,548","5,448","18,739","7,248","1,456","5,366","14,070","4,495",92,82,"4,669",75.10%,61.70%,94.10%,98.50%,"1,387",35,33,"1,455",293,"1,748",83,9
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"21,944",0,"9,450","31,394","13,581",0,"9,449","23,030","8,363",0,1,"8,364",73.40%,61.90%,-,100.00%,"3,888",0,0,"3,888","1,965","5,853","1,500",521
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"20,916","2,009",0,"22,925","12,665","1,812",0,"14,477","8,251",197,0,"8,448",63.10%,60.60%,90.20%,-,"6,252",7,0,"6,259","3,501","9,760","2,125",964
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"15,384",498,"8,482","24,364","8,034",498,"8,413","16,945","7,350",0,69,"7,419",69.50%,52.20%,100.00%,99.20%,"4,862",0,0,"4,862","1,726","6,588","1,563",443
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"8,949",0,"4,514","13,463","6,002",0,"4,504","10,506","2,947",0,10,"2,957",78.00%,67.10%,-,99.80%,"3,528",0,0,"3,528",786,"4,314","1,066",117
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"13,741",0,"6,029","19,770","6,802",0,"5,950","12,752","6,939",0,79,"7,018",64.50%,49.50%,-,98.70%,"2,855",0,0,"2,855",859,"3,714","2,032",846
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"5,883","1,068",201,"7,152","3,537","1,068",201,"4,806","2,346",0,0,"2,346",67.20%,60.10%,100.00%,100.00%,"1,489",0,0,"1,489",143,"1,632",661,207
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,668",215,0,"6,883","4,422",215,0,"4,637","2,246",0,0,"2,246",67.40%,66.30%,100.00%,-,"1,635",0,0,"1,635",467,"2,102",485,61
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,177",0,0,"9,177","7,185",0,0,"7,185","1,992",0,0,"1,992",78.30%,78.30%,-,-,"3,100",0,0,"3,100",443,"3,543",260,0
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"8,779","1,076","3,172","13,027","6,559","1,076","3,172","10,807","2,220",0,0,"2,220",83.00%,74.70%,100.00%,100.00%,"2,511",0,5,"2,516","1,230","3,746",704,49
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,507","3,507",0,0,"3,245","3,245",0,0,262,262,92.50%,-,-,92.50%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,732","1,732",0,0,"1,659","1,659",0,0,73,73,95.80%,-,-,95.80%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"15,446",0,0,"15,446","12,738",0,0,"12,738","2,708",0,0,"2,708",82.50%,82.50%,-,-,"2,816",0,0,"2,816",174,"2,990",862,16
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"12,390",0,"11,570","23,960","7,553",0,"11,570","19,123","4,837",0,0,"4,837",79.80%,61.00%,-,100.00%,"4,325",0,0,"4,325",628,"4,953","1,710",9
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"13,912",0,"3,919","17,831","9,061",0,"3,914","12,975","4,851",0,5,"4,856",72.80%,65.10%,-,99.90%,"3,944",0,428,"4,372",833,"5,205","1,272",108
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"2,699","2,699",0,0,"2,543","2,543",0,0,156,156,94.20%,-,-,94.20%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"5,556",0,"4,206","9,762","3,855",0,"4,178","8,033","1,701",0,28,"1,729",82.30%,69.40%,-,99.30%,"1,627",0,0,"1,627",49,"1,676",397,0
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,554","1,554",0,0,"1,547","1,547",0,0,7,7,99.50%,-,-,99.50%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,408",0,"1,127","6,535","4,240",0,"1,127","5,367","1,168",0,0,"1,168",82.10%,78.40%,-,100.00%,"1,141",0,0,"1,141",246,"1,387",95,0
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"9,446",0,"4,336","13,782","4,375",0,"4,153","8,528","5,071",0,183,"5,254",61.90%,46.30%,-,95.80%,"3,646",0,0,"3,646","2,185","5,831","1,269",337
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,293","1,293",0,0,"1,286","1,286",0,0,7,7,99.50%,-,-,99.50%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"16,769",665,"11,155","28,589","10,701",665,"11,044","22,410","6,068",0,111,"6,179",78.40%,63.80%,100.00%,99.00%,"3,615",0,0,"3,615","1,169","4,784","1,805",119
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,232","2,232",0,0,"2,223","2,223",0,0,9,9,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"16,112",133,"6,397","22,642","10,351",133,"6,251","16,735","5,761",0,146,"5,907",73.90%,64.20%,100.00%,97.70%,"3,513",0,166,"3,679",755,"4,434","1,553",9
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"8,929",0,"2,044","10,973","5,360",0,"1,989","7,349","3,569",0,55,"3,624",67.00%,60.00%,-,97.30%,"2,070",0,0,"2,070",332,"2,402",750,309
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"4,856",0,"10,490","15,346","2,516",0,"10,470","12,986","2,340",0,20,"2,360",84.60%,51.80%,-,99.80%,"1,731",0,446,"2,177","2,081","4,258",166,6
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,"9,249",0,"7,355","16,604","4,974",0,"7,300","12,274","4,275",0,55,"4,330",73.90%,53.80%,-,99.30%,"5,268",0,0,"5,268",402,"5,670","1,247",594
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,"9,949",0,"13,869","23,818","7,658",0,"13,865","21,523","2,291",0,4,"2,295",90.40%,77.00%,-,100.00%,"4,371",0,13,"4,384",386,"4,770",3,0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,"3,839",0,0,"3,839","3,651",0,0,"3,651",188,0,0,188,95.10%,95.10%,-,-,813,0,0,813,76,889,8,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,"8,966","1,119","8,254","18,339","4,250",929,"7,727","12,906","4,716",190,527,"5,433",70.40%,47.40%,83.00%,93.60%,"3,170",0,0,"3,170","3,453","6,623",880,11
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,"7,133",0,"11,175","18,308","3,403",0,"10,852","14,255","3,730",0,323,"4,053",77.90%,47.70%,-,97.10%,"2,272",0,307,"2,579","2,174","4,753",392,11
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,"11,696","1,182","6,906","19,784","5,930","1,130","6,743","13,803","5,766",52,163,"5,981",69.80%,50.70%,95.60%,97.60%,"4,241",20,0,"4,261","1,414","5,675",667,4
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,111,111,0,0
