Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"1,937","1,937",0,0,"1,926","1,926",0,0,11,11,99.40%,-,-,99.40%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"1,865","1,865",0,0,"1,865","1,865",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"7,067",0,"1,614","8,681","4,799",0,"1,590","6,389","2,268",0,24,"2,292",73.60%,67.90%,-,98.50%,"1,159",0,0,"1,159",0,"1,159",915,568
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"10,704",0,"8,591","19,295","6,523",0,"8,583","15,106","4,181",0,8,"4,189",78.30%,60.90%,-,99.90%,"1,924",0,0,"1,924",436,"2,360","1,261",647
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,322,322,0,0,322,322,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"7,660","7,660",0,0,"7,514","7,514",0,0,146,146,98.10%,-,-,98.10%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,780","2,780",0,0,"2,775","2,775",0,0,5,5,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"7,487","7,487",0,0,"7,439","7,439",0,0,48,48,99.40%,-,-,99.40%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,581,581,0,0,581,581,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,219,219,0,0,219,219,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
