Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"11,642","1,525","8,004","21,171","7,291","1,500","7,733","16,524","4,351",25,271,"4,647",78.10%,62.60%,98.40%,96.60%,"3,048",0,43,"3,091","4,118","7,209","1,379",620
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"10,683",0,"2,678","13,361","4,857",0,"2,298","7,155","5,826",0,380,"6,206",53.60%,45.50%,-,85.80%,"3,431",0,184,"3,615","1,847","5,462","1,839","1,454"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"16,510",0,"4,055","20,565","10,077",0,"3,759","13,836","6,433",0,296,"6,729",67.30%,61.00%,-,92.70%,"4,882",0,0,"4,882","1,235","6,117","1,827",932
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"35,573",310,"3,458","39,341","21,182",310,"3,383","24,875","14,391",0,75,"14,466",63.20%,59.50%,100.00%,97.80%,"11,249",0,0,"11,249","7,323","18,572","4,597","1,702"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"12,703","2,593","5,892","21,188","7,115","2,493","5,733","15,341","5,588",100,159,"5,847",72.40%,56.00%,96.10%,97.30%,"1,087",47,19,"1,153",278,"1,431",65,17
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"22,584",0,"9,401","31,985","12,741",0,"9,398","22,139","9,843",0,3,"9,846",69.20%,56.40%,-,100.00%,"3,956",0,0,"3,956","2,064","6,020","2,103","1,160"
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"22,973","1,875",0,"24,848","13,636","1,740",0,"15,376","9,337",135,0,"9,472",61.90%,59.40%,92.80%,-,"7,008",2,0,"7,010","3,784","10,794","1,999",716
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"15,476",497,"9,361","25,334","7,061",497,"9,131","16,689","8,415",0,230,"8,645",65.90%,45.60%,100.00%,97.50%,"4,701",0,0,"4,701","1,148","5,849","2,166","1,093"
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,967",0,"4,254","14,221","6,228",0,"4,026","10,254","3,739",0,228,"3,967",72.10%,62.50%,-,94.60%,"3,866",0,0,"3,866",866,"4,732","1,576",545
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"13,836",0,"5,212","19,048","6,790",0,"5,148","11,938","7,046",0,64,"7,110",62.70%,49.10%,-,98.80%,"3,112",0,0,"3,112",799,"3,911","2,072","1,083"
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"5,941",937,126,"7,004","3,732",937,126,"4,795","2,209",0,0,"2,209",68.50%,62.80%,100.00%,100.00%,"1,401",0,0,"1,401",141,"1,542",552,178
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,575",235,0,"6,810","4,095",235,0,"4,330","2,480",0,0,"2,480",63.60%,62.30%,100.00%,-,"1,509",0,0,"1,509",618,"2,127",722,223
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,470",0,0,"9,470","6,870",0,0,"6,870","2,600",0,0,"2,600",72.50%,72.50%,-,-,"3,236",0,0,"3,236",591,"3,827",494,4
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,942",986,"3,330","14,258","7,360",986,"3,330","11,676","2,582",0,0,"2,582",81.90%,74.00%,100.00%,100.00%,"2,572",0,13,"2,585","1,421","4,006",729,70
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,748","3,748",0,0,"3,287","3,287",0,0,461,461,87.70%,-,-,87.70%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,320","1,320",0,0,"1,263","1,263",0,0,57,57,95.70%,-,-,95.70%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"16,724",0,0,"16,724","13,641",0,0,"13,641","3,083",0,0,"3,083",81.60%,81.60%,-,-,"3,022",0,0,"3,022",164,"3,186","1,094",20
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"13,118",0,"11,349","24,467","7,479",0,"11,349","18,828","5,639",0,0,"5,639",77.00%,57.00%,-,100.00%,"4,515",0,0,"4,515",732,"5,247","2,026",46
